Threshold,Precision,Recall,F1
0.05,0.5209580838323353,0.8877551020408163,0.6566037735849056
0.1,0.6771653543307087,0.8775510204081632,0.7644444444444445
0.15000000000000002,0.7350427350427351,0.8775510204081632,0.8
0.2,0.7818181818181819,0.8775510204081632,0.8269230769230769
0.25,0.8173076923076923,0.8673469387755102,0.8415841584158416
0.3,0.8173076923076923,0.8673469387755102,0.8415841584158416
0.35000000000000003,0.8316831683168316,0.8571428571428571,0.8442211055276382
0.4,0.8316831683168316,0.8571428571428571,0.8442211055276382
0.45,0.8367346938775511,0.8367346938775511,0.8367346938775511
0.5,0.8541666666666666,0.8367346938775511,0.845360824742268
0.55,0.8723404255319149,0.8367346938775511,0.8541666666666666
0.6000000000000001,0.8817204301075269,0.8367346938775511,0.8586387434554974
0.6500000000000001,0.8817204301075269,0.8367346938775511,0.8586387434554974
0.7000000000000001,0.8791208791208791,0.8163265306122449,0.8465608465608465
0.7500000000000001,0.8888888888888888,0.8163265306122449,0.851063829787234
0.8,0.8876404494382022,0.8061224489795918,0.8449197860962567
0.8500000000000001,0.9069767441860465,0.7959183673469388,0.8478260869565217
0.9000000000000001,0.9069767441860465,0.7959183673469388,0.8478260869565217
0.9500000000000001,0.9176470588235294,0.7959183673469388,0.8524590163934426
